version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 10 is empty
cpus=12
           zpool-5126  [007]   127.982421: funcgraph_entry:      + 20.487 us  |      put_nvlist();
           zpool-5126  [007]   127.982450: funcgraph_exit:       ! 363.782 us |    }
           zpool-5126  [007]   127.982453: funcgraph_exit:       ! 381.566 us |  }
           zpool-5126  [007]   127.982553: funcgraph_entry:                   |  zfsdev_ioctl() {
           zpool-5126  [007]   127.982559: funcgraph_entry:        0.640 us   |    pool_status_check();
           zpool-5126  [007]   127.982560: funcgraph_entry:        0.420 us   |    zfs_secpolicy_read();
           zpool-5126  [007]   127.982561: funcgraph_entry:                   |    zfs_ioc_pool_stats() {
           zpool-5126  [007]   127.982562: funcgraph_entry:                   |      spa_get_stats() {
           zpool-5126  [007]   127.982562: funcgraph_entry:                   |        spa_open_common() {
           zpool-5126  [007]   127.982563: funcgraph_entry:                   |          spa_lookup() {
           zpool-5126  [007]   127.982564: funcgraph_entry:        0.619 us   |            spa_name_compare();
           zpool-5126  [007]   127.982565: funcgraph_exit:         2.019 us   |          }
           zpool-5126  [007]   127.982565: funcgraph_entry:        0.436 us   |          spa_open_ref();
           zpool-5126  [007]   127.982566: funcgraph_entry:                   |          spa_config_generate() {
           zpool-5126  [007]   127.982567: funcgraph_entry:        0.636 us   |            spa_config_enter();
           zpool-5126  [007]   127.982568: funcgraph_entry:        0.423 us   |            spa_name();
           zpool-5126  [007]   127.982570: funcgraph_entry:        0.845 us   |            spa_version();
           zpool-5126  [007]   127.982572: funcgraph_entry:        0.453 us   |            spa_state();
           zpool-5126  [007]   127.982573: funcgraph_entry:                   |            spa_guid() {
           zpool-5126  [007]   127.982574: funcgraph_entry:                   |              dsl_pool_sync_context() {
           zpool-5126  [007]   127.982574: funcgraph_entry:        0.414 us   |                spa_is_initializing();
           zpool-5126  [007]   127.982575: funcgraph_exit:         1.337 us   |              }
           zpool-5126  [007]   127.982576: funcgraph_exit:         2.266 us   |            }
           zpool-5126  [007]   127.982578: funcgraph_entry:        1.296 us   |            vdev_top_config_generate();
           zpool-5126  [007]   127.982579: funcgraph_entry:                   |            vdev_config_generate() {
           zpool-5126  [007]   127.982582: funcgraph_entry:                   |              vdev_get_stats() {
           zpool-5126  [007]   127.982582: funcgraph_entry:        0.456 us   |                vdev_get_min_asize();
           zpool-5126  [007]   127.982583: funcgraph_exit:         1.752 us   |              }
           zpool-5126  [007]   127.982584: funcgraph_entry:        0.486 us   |              spa_scan_get_stats();
           zpool-5126  [007]   127.982585: funcgraph_entry:                   |              vdev_config_generate() {
           zpool-5126  [007]   127.982589: funcgraph_entry:                   |                vdev_get_stats() {
           zpool-5126  [007]   127.982590: funcgraph_entry:        0.507 us   |                  vdev_get_min_asize();
           zpool-5126  [007]   127.982590: funcgraph_exit:         1.559 us   |                }
           zpool-5126  [007]   127.982591: funcgraph_entry:        0.426 us   |                spa_scan_get_stats();
           zpool-5126  [007]   127.982592: funcgraph_entry:                   |                vdev_config_generate() {
           zpool-5126  [007]   127.982595: funcgraph_entry:                   |                  vdev_get_stats() {
           zpool-5126  [007]   127.982595: funcgraph_entry:        0.444 us   |                    vdev_get_min_asize();
           zpool-5126  [007]   127.982596: funcgraph_exit:         1.530 us   |                  }
           zpool-5126  [007]   127.982597: funcgraph_entry:        0.413 us   |                  spa_scan_get_stats();
           zpool-5126  [007]   127.982598: funcgraph_exit:         5.457 us   |                }
           zpool-5126  [007]   127.982598: funcgraph_entry:                   |                vdev_config_generate() {
           zpool-5126  [007]   127.982600: funcgraph_entry:                   |                  vdev_get_stats() {
           zpool-5126  [007]   127.982601: funcgraph_entry:        0.427 us   |                    vdev_get_min_asize();
           zpool-5126  [007]   127.982602: funcgraph_exit:         1.485 us   |                  }
           zpool-5126  [007]   127.982603: funcgraph_entry:        0.427 us   |                  spa_scan_get_stats();
           zpool-5126  [007]   127.982604: funcgraph_exit:         5.407 us   |                }
           zpool-5126  [007]   127.982611: funcgraph_exit:       + 25.983 us  |              }
           zpool-5126  [007]   127.982623: funcgraph_exit:       + 43.834 us  |            }
           zpool-5126  [007]   127.982638: funcgraph_entry:        0.490 us   |            spa_load_state();
           zpool-5126  [007]   127.982640: funcgraph_entry:      + 32.538 us  |            ddt_get_dedup_histogram();
           zpool-5126  [007]   127.982674: funcgraph_entry:        0.687 us   |            ddt_get_dedup_object_stats();
           zpool-5126  [007]   127.982676: funcgraph_entry:                   |            ddt_get_dedup_stats() {
           zpool-5126  [007]   127.982677: funcgraph_entry:      + 30.838 us  |              ddt_get_dedup_histogram();
           zpool-5126  [007]   127.982709: funcgraph_entry:        1.485 us   |              ddt_histogram_stat();
           zpool-5126  [007]   127.982711: funcgraph_exit:       + 34.164 us  |            }
           zpool-5126  [007]   127.982712: funcgraph_entry:        0.783 us   |            spa_config_exit();
           zpool-5126  [007]   127.982713: funcgraph_exit:       ! 146.739 us |          }
           zpool-5126  [007]   127.982713: funcgraph_exit:       ! 151.286 us |        }
           zpool-5126  [007]   127.982714: funcgraph_entry:        0.527 us   |        spa_config_enter();
           zpool-5126  [007]   127.982715: funcgraph_entry:        0.737 us   |        spa_get_errlog_size();
           zpool-5126  [007]   127.982717: funcgraph_entry:        0.413 us   |        spa_suspended();
           zpool-5126  [007]   127.982718: funcgraph_entry:        0.434 us   |        spa_add_spares();
           zpool-5126  [007]   127.982719: funcgraph_entry:        0.436 us   |        spa_add_l2cache();
           zpool-5126  [007]   127.982720: funcgraph_entry:                   |        spa_add_feature_stats() {
           zpool-5126  [007]   127.982721: funcgraph_entry:        0.413 us   |          zap_cursor_init();
           zpool-5126  [007]   127.982722: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982722: funcgraph_entry:                   |            zap_lockdir() {
           zpool-5126  [007]   127.982723: funcgraph_entry:                   |              dmu_buf_hold() {
           zpool-5126  [007]   127.982723: funcgraph_entry:                   |                dnode_hold() {
           zpool-5126  [007]   127.982724: funcgraph_entry:                   |                  dnode_hold_impl() {
           zpool-5126  [007]   127.982724: funcgraph_entry:        0.417 us   |                    dbuf_whichblock();
           zpool-5126  [007]   127.982725: funcgraph_entry:                   |                    dbuf_hold() {
           zpool-5126  [007]   127.982726: funcgraph_entry:                   |                      dbuf_hold_impl() {
           zpool-5126  [007]   127.982727: funcgraph_entry:                   |                        __dbuf_hold_impl() {
           zpool-5126  [007]   127.982727: funcgraph_entry:                   |                          dbuf_find() {
           zpool-5126  [007]   127.982728: funcgraph_entry:        0.630 us   |                            dbuf_hash();
           zpool-5126  [007]   127.982729: funcgraph_exit:         1.682 us   |                          }
           zpool-5126  [007]   127.982730: funcgraph_exit:         3.205 us   |                        }
           zpool-5126  [007]   127.982730: funcgraph_exit:         4.635 us   |                      }
           zpool-5126  [007]   127.982731: funcgraph_exit:         5.534 us   |                    }
           zpool-5126  [007]   127.982731: funcgraph_entry:        0.652 us   |                    RW_WRITE_HELD();
           zpool-5126  [007]   127.982733: funcgraph_entry:                   |                    dbuf_read() {
           zpool-5126  [007]   127.982733: funcgraph_entry:        0.446 us   |                      zrl_add();
           zpool-5126  [007]   127.982734: funcgraph_entry:        0.884 us   |                      dmu_zfetch();
           zpool-5126  [007]   127.982736: funcgraph_entry:        0.519 us   |                      RW_WRITE_HELD();
           zpool-5126  [007]   127.982737: funcgraph_entry:        0.410 us   |                      zrl_remove();
           zpool-5126  [007]   127.982738: funcgraph_exit:         4.915 us   |                    }
           zpool-5126  [007]   127.982738: funcgraph_entry:        0.427 us   |                    dmu_buf_get_user();
