version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
           zpool-23936 [010] 63346.347338: funcgraph_exit:         3.801 us   |                }
           zpool-23936 [010] 63346.347339: funcgraph_entry:        0.566 us   |                dnode_rele();
           zpool-23936 [010] 63346.347340: funcgraph_exit:       + 52.995 us  |              }
           zpool-23936 [010] 63346.347341: funcgraph_entry:        0.413 us   |              dmu_buf_get_user();
           zpool-23936 [010] 63346.347342: funcgraph_exit:       + 55.060 us  |            }
           zpool-23936 [010] 63346.347342: funcgraph_entry:        0.573 us   |            mze_compare();
           zpool-23936 [010] 63346.347344: funcgraph_entry:        0.433 us   |            mzap_normalization_conflict();
           zpool-23936 [010] 63346.347345: funcgraph_exit:       + 59.044 us  |          }
           zpool-23936 [010] 63346.347349: funcgraph_entry:        0.420 us   |          zap_cursor_advance();
           zpool-23936 [010] 63346.347349: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-23936 [010] 63346.347350: funcgraph_entry:        0.469 us   |            mze_compare();
           zpool-23936 [010] 63346.347351: funcgraph_exit:         1.832 us   |          }
           zpool-23936 [010] 63346.347352: funcgraph_entry:                   |          zap_cursor_fini() {
           zpool-23936 [010] 63346.347352: funcgraph_entry:                   |            zap_unlockdir() {
           zpool-23936 [010] 63346.347353: funcgraph_entry:                   |              dmu_buf_rele() {
           zpool-23936 [010] 63346.347353: funcgraph_entry:                   |                dbuf_rele_and_unlock() {
           zpool-23936 [010] 63346.347354: funcgraph_entry:        0.513 us   |                  arc_buf_freeze();
           zpool-23936 [010] 63346.347355: funcgraph_entry:        0.500 us   |                  arc_released();
           zpool-23936 [010] 63346.347356: funcgraph_entry:                   |                  arc_buf_remove_ref() {
           zpool-23936 [010] 63346.347357: funcgraph_entry:        0.570 us   |                    remove_reference();
           zpool-23936 [010] 63346.347358: funcgraph_exit:         1.666 us   |                  }
           zpool-23936 [010] 63346.347358: funcgraph_entry:        0.549 us   |                  arc_buf_eviction_needed();
           zpool-23936 [010] 63346.347359: funcgraph_exit:         5.951 us   |                }
           zpool-23936 [010] 63346.347360: funcgraph_exit:         6.851 us   |              }
