version = 6
CPU 0 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
cpus=12
           zpool-31075 [003] 342012.383849: funcgraph_exit:         2.882 us   |            }
           zpool-31075 [003] 342012.383850: funcgraph_entry:        0.627 us   |            vdev_remove_child();
           zpool-31075 [003] 342012.383851: funcgraph_entry:                   |            vdev_queue_fini() {
           zpool-31075 [003] 342012.383852: funcgraph_entry:        0.944 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383853: funcgraph_entry:        0.646 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383855: funcgraph_entry:        0.560 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383856: funcgraph_entry:        0.556 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383857: funcgraph_entry:        0.606 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383858: funcgraph_entry:        0.553 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383859: funcgraph_entry:        0.563 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383860: funcgraph_entry:        0.579 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383861: funcgraph_entry:        0.604 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383862: funcgraph_entry:        0.609 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383863: funcgraph_entry:        0.560 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383864: funcgraph_entry:        0.606 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383866: funcgraph_entry:        1.163 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383867: funcgraph_entry:        0.540 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383868: funcgraph_entry:        0.506 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383869: funcgraph_entry:        2.759 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383872: funcgraph_entry:        0.526 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383873: funcgraph_entry:        0.517 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383874: funcgraph_entry:        0.499 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383875: funcgraph_entry:        0.520 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383876: funcgraph_entry:        0.556 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383877: funcgraph_entry:        0.504 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383878: funcgraph_entry:        0.510 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383879: funcgraph_entry:        1.976 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383881: funcgraph_entry:        0.520 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383882: funcgraph_entry:        0.506 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383883: funcgraph_entry:        0.497 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383884: funcgraph_entry:        0.512 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383885: funcgraph_entry:        0.494 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383886: funcgraph_entry:        0.503 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383887: funcgraph_entry:        0.496 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383888: funcgraph_entry:        1.199 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383890: funcgraph_entry:        0.507 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383891: funcgraph_entry:        0.523 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383892: funcgraph_entry:        0.510 us   |              zio_vdev_free();
           zpool-31075 [003] 342012.383893: funcgraph_exit:       + 41.470 us  |            }
           zpool-31075 [003] 342012.383893: funcgraph_entry:                   |            vdev_cache_fini() {
           zpool-31075 [003] 342012.383893: funcgraph_entry:        0.483 us   |              vdev_cache_purge();
           zpool-31075 [003] 342012.383894: funcgraph_exit:         1.377 us   |            }
           zpool-31075 [003] 342012.383895: funcgraph_entry:        0.433 us   |            txg_list_destroy();
           zpool-31075 [003] 342012.383896: funcgraph_entry:        0.413 us   |            txg_list_destroy();
           zpool-31075 [003] 342012.383897: funcgraph_entry:                   |            space_map_unload() {
           zpool-31075 [003] 342012.383898: funcgraph_entry:        0.696 us   |              space_map_vacate();
           zpool-31075 [003] 342012.383899: funcgraph_exit:         1.800 us   |            }
           zpool-31075 [003] 342012.383899: funcgraph_entry:        0.727 us   |            space_map_destroy();
           zpool-31075 [003] 342012.383900: funcgraph_entry:                   |            space_map_unload() {
           zpool-31075 [003] 342012.383901: funcgraph_entry:        0.435 us   |              space_map_vacate();
           zpool-31075 [003] 342012.383902: funcgraph_exit:         1.306 us   |            }
           zpool-31075 [003] 342012.383902: funcgraph_entry:        0.436 us   |            space_map_destroy();
           zpool-31075 [003] 342012.383903: funcgraph_entry:                   |            space_map_unload() {
           zpool-31075 [003] 342012.383903: funcgraph_entry:        0.423 us   |              space_map_vacate();
           zpool-31075 [003] 342012.383904: funcgraph_exit:         1.242 us   |            }
           zpool-31075 [003] 342012.383905: funcgraph_entry:        0.462 us   |            space_map_destroy();
           zpool-31075 [003] 342012.383906: funcgraph_entry:                   |            space_map_unload() {
           zpool-31075 [003] 342012.383906: funcgraph_entry:        0.413 us   |              space_map_vacate();
           zpool-31075 [003] 342012.383907: funcgraph_exit:         1.217 us   |            }
           zpool-31075 [003] 342012.383907: funcgraph_entry:        0.433 us   |            space_map_destroy();
           zpool-31075 [003] 342012.383909: funcgraph_exit:       + 62.963 us  |          }
           zpool-31075 [003] 342012.383909: funcgraph_exit:       ! 150.343 us |        }
           zpool-31075 [003] 342012.383910: funcgraph_entry:        1.452 us   |        spa_config_exit();
           zpool-31075 [003] 342012.383912: funcgraph_entry:                   |        spa_unload() {
           zpool-31075 [003] 342012.383913: funcgraph_entry:        1.125 us   |          spa_async_suspend();
           zpool-31075 [003] 342012.383914: funcgraph_entry:                   |          zio_wait() {
           zpool-31075 [003] 342012.383915: funcgraph_entry:        0.499 us   |            spa_get_dsl();
           zpool-31075 [003] 342012.383917: funcgraph_entry:                   |            zio_ready() {
           zpool-31075 [003] 342012.383917: funcgraph_entry:        0.480 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383918: funcgraph_entry:        0.460 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383920: funcgraph_entry:        0.414 us   |              zio_walk_parents();
           zpool-31075 [003] 342012.383921: funcgraph_exit:         3.764 us   |            }
           zpool-31075 [003] 342012.383921: funcgraph_entry:        0.410 us   |            spa_get_dsl();
           zpool-31075 [003] 342012.383922: funcgraph_entry:                   |            zio_done() {
           zpool-31075 [003] 342012.383922: funcgraph_entry:        0.500 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383923: funcgraph_entry:        0.456 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383924: funcgraph_entry:        0.460 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383925: funcgraph_entry:        0.453 us   |              zio_wait_for_children();
           zpool-31075 [003] 342012.383926: funcgraph_entry:        0.490 us   |              zio_pop_transforms();
           zpool-31075 [003] 342012.383927: funcgraph_entry:        0.476 us   |              vdev_stat_update();
           zpool-31075 [003] 342012.383928: funcgraph_entry:        0.423 us   |              zio_gang_tree_free();
           zpool-31075 [003] 342012.383929: funcgraph_entry:        0.416 us   |              zio_walk_parents();
           zpool-31075 [003] 342012.383930: funcgraph_exit:         8.446 us   |            }
           zpool-31075 [003] 342012.383931: funcgraph_exit:       + 16.775 us  |          }
           zpool-31075 [003] 342012.383932: funcgraph_entry:        0.480 us   |          bpobj_close();
           zpool-31075 [003] 342012.383933: funcgraph_entry:        0.557 us   |          ddt_unload();
           zpool-31075 [003] 342012.383934: funcgraph_entry:        0.930 us   |          spa_config_enter();
           zpool-31075 [003] 342012.383935: funcgraph_entry:        0.437 us   |          spa_l2cache_drop();
           zpool-31075 [003] 342012.383936: funcgraph_entry:        1.224 us   |          spa_config_exit();
           zpool-31075 [003] 342012.383938: funcgraph_exit:       + 26.064 us  |        }
           zpool-31075 [003] 342012.383938: funcgraph_entry:                   |        spa_deactivate() {
           zpool-31075 [003] 342012.383939: funcgraph_entry:        0.407 us   |          txg_list_destroy();
           zpool-31075 [002] 342012.385030: funcgraph_entry:        2.996 us   |          metaslab_class_destroy();
           zpool-31075 [002] 342012.385033: funcgraph_entry:        0.654 us   |          metaslab_class_destroy();
           zpool-31075 [002] 342012.385035: funcgraph_entry:        0.855 us   |          spa_errlog_drain();
           zpool-31075 [002] 342012.385036: funcgraph_exit:       ! 353.969 us |        }
           zpool-31075 [002] 342012.385037: funcgraph_entry:                   |        spa_remove() {
           zpool-31075 [002] 342012.385038: funcgraph_entry:        0.836 us   |          spa_strfree();
           zpool-31075 [002] 342012.385041: funcgraph_entry:        0.729 us   |          spa_config_set();
           zpool-31075 [002] 342012.385042: funcgraph_entry:        6.267 us   |          spa_stats_destroy();
           zpool-31075 [002] 342012.385050: funcgraph_entry:        0.496 us   |          bplist_destroy();
           zpool-31075 [002] 342012.385051: funcgraph_entry:        0.436 us   |          bplist_destroy();
           zpool-31075 [002] 342012.385052: funcgraph_entry:        0.433 us   |          bplist_destroy();
           zpool-31075 [002] 342012.385053: funcgraph_entry:        0.483 us   |          bplist_destroy();
           zpool-31075 [002] 342012.385055: funcgraph_exit:       + 17.878 us  |        }
           zpool-31075 [002] 342012.385055: funcgraph_exit:       ! 1396.133 us |      }
           zpool-31075 [002] 342012.385061: funcgraph_exit:       ! 1426.109 us |    }
           zpool-31075 [002] 342012.385067: funcgraph_exit:       ! 1454.145 us |  }
           zpool-31075 [002] 342012.385141: funcgraph_entry:                   |  zfsdev_release() {
           zpool-31075 [002] 342012.385142: funcgraph_entry:        1.027 us   |    zfs_onexit_destroy();
           zpool-31075 [002] 342012.385143: funcgraph_entry:        0.809 us   |    zfs_zevent_destroy();
           zpool-31075 [002] 342012.385145: funcgraph_exit:         4.448 us   |  }
           zpool-31075 [002] 342012.385182: funcgraph_entry:                   |  zfsdev_release() {
           zpool-31075 [002] 342012.385192: funcgraph_entry:        1.395 us   |    zfs_onexit_destroy();
           zpool-31075 [002] 342012.385194: funcgraph_entry:        0.993 us   |    zfs_zevent_destroy();
           zpool-31075 [002] 342012.385195: funcgraph_exit:       + 13.533 us  |  }
